V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V45 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V62 V63 V64 V65 V66 V67 V68 V69 V70 V71 V72 V73 V74 V75 V76 V77 V78 V79 V80 V81 V82 V83 V84 V85 V86 V87 V88 V89 V90 V91 V92 V93 V94 V95 V96 V97 V98 V99 V100
3 0 0 0 0 0 3 0 0 0 0 8 7 6 3 0 8 5 1 2 0 0 2 0 0 0 7 5 0 7 0 0 3 0 0 0 0 9 0 0 0 0 0 8 0 1 7 0 0 9 0 0 1 0 7 0 7 0 0 3 0 0 0 0 1 0 0 0 0 3 5 0 8 0 0 0 0 8 2 0 1 4 0 3 6 0 0 7 0 0 0 0 0 0 5 2 0 9 0 0
9 0 0 4 1 0 0 0 7 0 1 0 0 8 0 0 5 0 0 0 0 3 0 0 0 5 0 0 7 0 0 0 1 0 0 6 0 9 7 5 0 0 8 2 0 0 0 9 1 2 0 3 0 6 0 0 0 3 0 0 0 0 0 4 0 0 0 0 7 7 2 8 5 5 0 2 0 0 0 0 0 0 6 0 9 4 0 0 0 0 7 7 0 0 0 0 6 0 0 0
3 6 7 0 0 9 6 0 0 0 5 1 0 8 0 2 0 4 0 0 3 0 0 0 2 1 6 0 0 9 0 2 5 0 0 8 0 0 0 6 7 9 0 0 0 1 0 9 0 0 8 7 4 3 0 0 7 3 0 0 2 7 0 0 0 0 0 1 0 3 0 0 6 0 7 9 0 0 0 0 0 2 5 0 0 2 0 0 8 7 1 0 2 0 6 0 0 0 0 0
1 0 0 1 6 9 8 0 8 0 5 2 0 8 0 9 0 7 0 0 2 0 5 1 7 0 0 0 0 0 3 0 0 0 7 4 0 9 0 7 0 0 0 0 0 4 0 0 3 2 5 1 0 0 9 4 3 4 0 1 4 3 0 0 1 5 0 0 0 0 8 5 3 0 2 8 0 5 1 6 7 2 0 5 4 0 0 4 0 0 1 8 0 0 7 0 0 0 0 0
8 0 0 4 8 7 1 4 0 0 3 0 4 0 0 0 6 0 0 0 0 0 4 3 0 8 7 8 4 1 4 6 9 3 7 0 0 0 1 8 4 1 0 0 0 0 9 3 0 4 8 2 6 0 0 9 0 2 0 3 0 0 5 0 2 0 0 0 2 0 0 7 0 4 0 0 0 0 2 0 7 0 0 9 0 0 0 0 0 6 5 0 0 0 0 6 0 5 0 0
6 4 3 0 0 0 0 1 0 0 0 0 0 9 0 6 0 0 0 0 0 5 0 9 5 5 9 8 1 0 0 0 0 6 7 0 9 7 4 0 0 0 4 0 0 8 0 0 0 0 3 0 0 5 0 0 0 0 2 5 0 0 0 0 8 8 0 0 4 0 0 0 7 0 0 0 0 9 0 5 9 0 0 5 0 7 8 0 2 0 0 5 0 6 7 8 0 7 0 0
0 8 0 5 1 0 9 0 6 7 4 2 0 6 0 0 1 6 0 4 7 0 4 6 0 9 0 0 5 0 0 0 0 0 0 0 9 0 2 0 0 7 3 0 0 0 0 8 1 9 0 0 0 7 0 9 1 6 6 1 8 9 0 4 4 8 0 0 0 0 0 0 6 0 0 0 0 9 0 4 8 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 3 7
0 3 0 6 4 9 3 1 9 0 9 0 4 0 0 8 7 9 7 0 0 0 6 5 0 0 0 0 4 0 9 0 0 0 0 8 2 0 3 0 6 3 0 2 1 0 0 1 5 3 0 0 0 1 0 0 0 7 0 0 0 2 0 6 0 0 6 0 3 6 6 0 0 7 0 0 2 0 0 8 0 7 0 0 7 0 0 8 7 7 0 0 0 5 0 8 0 0 2 2
6 4 0 6 0 0 8 0 0 0 8 7 0 0 0 0 5 0 0 9 0 0 0 0 8 0 0 3 0 0 0 0 0 0 0 4 0 0 3 0 0 4 3 0 0 0 9 0 9 0 7 0 8 2 1 0 0 1 0 7 1 5 1 0 0 0 0 4 0 2 9 5 5 0 8 0 8 0 2 2 3 0 0 0 4 0 3 4 4 2 0 0 0 1 0 8 5 0 0 0
3 6 8 1 9 0 1 0 0 0 5 0 0 0 0 9 0 0 1 6 6 9 9 7 7 9 2 2 0 0 0 6 0 0 0 2 0 5 0 0 0 0 0 8 0 7 3 7 0 0 0 0 4 0 0 0 6 0 5 4 0 0 0 0 0 2 9 0 0 6 3 0 0 6 9 0 0 2 0 0 0 8 0 0 0 0 0 8 8 0 0 0 9 0 7 7 0 0 1 3
1 0 1 2 0 0 9 4 6 0 6 5 0 0 3 0 4 3 4 0 5 0 7 0 7 0 0 0 3 0 0 2 4 0 0 6 8 0 2 0 2 4 4 0 8 8 6 0 1 0 0 7 9 0 0 0 0 7 0 7 2 0 4 0 0 0 5 0 8 3 9 0 0 0 1 0 8 0 0 0 3 0 3 4 0 0 6 0 0 4 1 0 0 0 0 5 0 0 1 5
2 0 4 5 9 0 6 0 4 5 0 0 0 6 0 0 0 6 0 0 0 2 0 8 4 9 0 7 0 0 0 3 0 0 1 0 0 2 7 7 7 0 0 0 2 5 0 0 0 0 6 0 0 0 0 0 7 0 0 7 0 4 8 1 0 0 1 9 0 0 7 2 0 0 1 4 0 2 0 5 0 3 0 6 0 7 1 3 0 8 5 0 0 0 0 0 8 9 0 2
0 8 0 0 0 8 0 0 0 0 0 0 0 0 0 3 3 6 0 0 0 2 0 4 0 7 8 0 6 7 0 3 0 4 0 0 4 4 0 0 0 1 1 8 0 0 2 0 0 0 2 6 4 0 0 9 6 0 3 0 0 6 7 3 0 0 9 0 4 4 0 0 0 8 0 0 7 0 9 0 0 0 2 0 6 0 0 0 8 0 0 8 9 0 7 0 6 7 0 5
6 0 3 0 0 5 0 2 1 0 0 0 0 7 0 3 0 0 0 0 6 9 0 0 0 7 7 0 0 0 8 0 9 7 0 0 0 2 0 0 0 0 5 4 0 0 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 6 5 0 0 6 5 0 0 8 1 8 0 1 3 0 0 0 7 0 1 4 6 0 4 5 0 0 9 5 0 0 0 0 1 0 0 0
2 1 5 0 2 0 0 0 0 0 9 3 9 6 2 5 0 5 0 0 0 3 0 0 9 2 7 1 5 3 0 0 0 4 0 0 4 0 0 0 4 7 0 0 7 0 0 0 0 9 7 0 0 0 8 7 0 0 9 2 2 0 1 0 8 9 0 2 0 8 4 0 0 5 7 7 8 0 1 0 0 0 3 6 5 0 4 4 4 0 0 0 0 0 4 6 4 6 0 5
2 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 9 0 0 9 0 0 2 7 0 3 3 0 0 0 0 0 0 0 0 4 0 9 0 1 0 5 0 0 0 1 0 0 2 4 8 0 8 0 3 5 2 9 0 0 0 4 6 1 0 3 5 4 4 1 6 5 0 0 0 2 4 8 0 1 4 1 0 5 0 9 0 9 0 0 0 3 0 0 4 8 0 8 0 0
7 9 4 8 0 4 1 0 0 7 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 9 6 2 2 6 0 0 3 0 0 9 0 0 8 0 0 0 0 8 0 7 0 3 0 0 0 4 0 0 5 9 4 5 6 0 0 0 3 0 9 5 0 5 0 0 0 0 9 6 0 0 0 2 5 5 0 0 0 2 6 6 0 0 1 9 0 0 0 9 0 0 6 4
0 3 0 0 7 0 0 0 5 7 8 0 8 8 5 3 0 1 8 0 0 0 0 4 0 0 3 0 0 0 2 2 0 5 0 6 4 0 4 0 0 3 0 0 2 9 0 0 6 8 0 0 0 0 0 0 1 0 0 3 0 0 3 0 7 0 0 9 5 5 0 0 6 3 0 5 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 9 0 9 8 0 5
0 0 8 1 0 0 9 2 0 0 3 4 0 3 9 0 0 0 0 0 2 0 0 1 0 1 0 0 7 3 0 4 8 6 7 0 0 0 0 0 0 0 1 8 3 0 2 0 8 0 1 0 1 0 0 9 3 2 2 0 0 0 2 0 0 0 4 7 0 6 0 1 0 0 0 0 0 0 3 5 0 0 5 3 0 9 0 0 8 7 7 3 1 6 0 0 2 0 5 0
9 1 0 0 0 2 2 0 1 1 0 0 3 6 0 0 9 0 0 0 3 0 0 0 9 0 0 0 3 3 0 5 0 0 7 0 0 0 0 0 0 0 5 8 3 0 7 1 3 2 6 0 0 0 4 0 8 0 8 1 6 4 0 0 0 1 1 0 5 0 0 7 0 0 0 0 9 0 8 0 0 0 0 7 2 0 0 0 0 0 1 0 0 0 0 7 0 0 0 4
0 0 0 0 0 0 7 1 0 6 7 3 0 0 3 0 1 9 1 5 0 1 0 0 0 0 3 0 0 0 0 0 0 9 0 0 0 3 3 8 0 3 1 0 8 0 0 3 0 9 0 0 0 0 7 0 3 8 5 0 0 9 0 0 0 5 0 1 4 0 0 0 7 0 0 0 0 0 0 9 0 0 7 0 0 2 9 9 0 1 7 0 0 3 0 5 6 9 6 6
7 0 7 6 0 6 0 5 0 1 3 1 0 5 5 0 3 0 5 4 0 7 0 0 3 1 3 8 1 0 0 0 0 0 0 8 0 4 0 0 3 2 6 0 3 7 3 0 0 0 0 0 8 0 9 0 0 2 0 0 0 2 9 0 0 9 4 0 0 0 6 5 0 0 6 0 0 7 2 0 0 8 3 7 0 0 5 0 0 8 0 3 9 0 8 0 2 7 6 4
9 0 0 2 0 0 0 0 5 0 9 8 8 9 7 0 0 1 0 0 9 7 0 0 0 0 0 2 8 8 9 0 0 7 6 2 9 0 0 8 2 6 0 0 3 7 0 5 6 5 0 0 0 0 6 0 8 2 3 9 0 2 0 0 0 0 0 0 0 4 6 4 7 0 2 4 0 5 5 0 2 0 0 0 0 7 0 0 0 3 0 0 9 0 0 9 5 9 3 0
0 0 9 0 7 7 3 0 1 0 0 0 0 0 0 0 6 0 1 0 0 0 6 0 0 9 0 2 9 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 8 2 0 7 0 3 3 0 8 8 7 6 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 4 0 0 0 4 9 0 1 0 0 0 6 7 2 0 0 2 0 0
0 4 0 0 7 0 3 0 8 6 4 4 1 4 0 0 0 7 0 4 0 9 0 0 5 1 0 0 5 3 3 7 0 7 8 0 0 0 5 0 2 0 0 6 7 0 0 0 2 8 4 0 0 1 0 0 6 2 0 0 7 0 0 3 0 0 6 0 0 0 0 4 2 0 0 2 8 0 9 4 3 0 0 5 5 0 4 2 0 0 0 6 0 6 0 0 0 6 0 2
0 0 0 0 0 0 8 7 5 0 1 1 0 0 3 0 0 9 0 0 0 0 0 6 0 0 9 0 8 0 2 0 1 1 1 1 0 0 0 8 8 0 7 0 7 0 0 0 0 0 1 5 7 0 3 0 5 0 0 0 7 0 5 0 0 0 0 4 0 0 0 0 0 0 7 6 0 6 0 0 0 0 0 0 5 4 0 7 3 0 4 0 5 0 0 0 0 8 0 6
0 0 7 0 1 0 6 0 5 5 0 0 0 7 0 0 3 8 7 0 0 7 0 0 2 0 6 0 0 0 0 0 0 0 0 6 0 5 3 0 0 5 0 9 3 0 2 0 7 0 5 0 0 9 0 0 7 0 8 4 1 0 8 7 0 5 0 0 5 0 0 0 0 0 0 0 1 7 0 4 1 0 5 0 6 0 6 0 3 3 0 0 0 0 6 0 0 0 0 0
0 0 3 6 0 0 9 1 2 6 3 6 9 0 0 7 5 9 0 0 4 6 9 0 0 0 0 0 0 1 0 2 0 6 0 0 0 9 0 8 7 0 0 5 0 0 3 7 0 0 6 0 0 3 5 8 0 0 0 0 6 7 6 2 0 6 0 0 1 0 0 6 0 2 7 0 6 2 0 0 9 8 3 3 6 0 3 0 6 0 4 6 0 0 7 0 0 7 2 5
1 0 0 0 1 0 8 4 7 0 2 0 9 0 0 2 0 0 0 0 0 0 1 0 4 0 5 0 2 5 0 0 3 4 0 0 0 4 0 0 0 3 8 1 6 0 3 9 0 4 5 0 1 0 0 6 0 0 5 5 0 0 0 8 5 6 0 2 0 2 0 2 0 0 4 2 0 0 5 0 2 9 0 0 4 7 8 0 0 7 0 4 5 3 0 0 0 4 0 0
0 5 0 1 6 6 0 0 0 1 0 0 0 5 0 0 5 4 0 8 0 4 0 0 0 0 1 9 0 0 5 4 4 9 1 0 2 1 0 1 8 2 5 9 0 4 0 6 9 0 0 0 0 0 0 0 4 6 0 0 0 8 0 3 0 3 2 0 0 0 0 2 4 0 1 2 7 0 0 7 5 4 8 2 3 0 2 0 0 5 7 7 0 1 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 2 4 0 3 0 0 9 4 8 5 8 0 3 0 0 9 0 0 2 5 0 0 5 2 0 0 1 0 0 0 4 7 5 0 0 0 0 5 3 5 0 8 0 9 0 3 0 0 8 0 1 8 8 9 5 0 0 6 0 0 0 3 0 0 7 0 0 0 6 0 2 0 8 0 0 0 6 0 2 0 0 1 0
0 0 6 0 0 8 5 0 0 6 0 8 5 6 0 5 0 3 0 6 0 0 0 0 0 3 0 0 9 0 3 3 0 0 0 4 6 0 1 2 0 1 0 0 4 9 0 0 0 7 2 7 0 0 2 3 3 0 0 0 9 0 6 0 0 0 9 0 8 0 4 9 0 9 0 4 8 3 0 4 0 0 5 0 0 0 0 8 2 0 0 0 9 7 0 7 0 0 0 8
8 0 0 0 0 0 2 0 4 4 8 5 0 4 0 5 1 0 1 9 9 1 0 3 0 0 7 3 7 4 4 5 0 3 0 1 7 3 9 5 5 0 8 3 0 5 0 0 5 0 3 2 6 5 0 2 0 9 0 3 0 9 0 5 4 0 0 7 5 0 0 0 0 0 0 7 0 0 2 0 0 4 8 0 0 0 0 7 6 0 9 6 8 0 1 6 0 2 0 1
